dataset,metric,Node2Vec,OMNI,TemporalCut_fast_normalized_1_0,TemporalCut_fast_sparse_1_0,USE_UASE,USE_ULSE-n1,USE_ULSE-n2,dygformer_50,dyrep_50,jodie_50,tgn_50
brain,ACC,0.3028,0.2462,0.1294,0.1306,0.3240,**0.3764**,__0.3582__,0.1572,0.1792,0.2052,0.2280
brain,NMI,0.2200,0.1958,0.0032,0.0045,__0.2914__,**0.2915**,0.2829,0.0284,0.0652,0.1096,0.1519
brain,ARI,0.1025,0.0867,-0.0003,0.0006,__0.1605__,**0.1637**,0.1534,0.0118,0.0308,0.0447,0.0646
brain,F1,0.3335,0.2006,0.1113,0.1114,0.3087,**0.3866**,__0.3623__,0.1398,0.1590,0.1999,0.2140
school,ACC,0.9781,0.4107,0.2006,0.2038,0.8527,__0.9937__,**0.9969**,0.1755,0.1944,0.1944,0.2163
school,NMI,0.9646,0.4717,0.0662,0.0658,0.8125,__0.9868__,**0.9935**,0.0563,0.0845,0.0889,0.1079
school,ARI,0.9540,0.2500,0.0106,0.0104,0.6551,__0.9854__,**0.9931**,0.0057,0.0204,0.0277,0.0238
school,F1,0.9766,0.3602,0.1876,0.1940,0.8669,__0.9939__,**0.9968**,0.1094,0.1535,0.1482,0.2019
stock,ACC,0.2470,0.2254,0.1703,0.1679,0.3885,**0.4532**,__0.4101__,0.1559,0.2134,0.1727,0.1918
stock,NMI,0.1851,0.1251,0.0690,0.0591,0.3000,**0.3851**,__0.3374__,0.0000,0.1094,0.0599,0.1059
stock,ARI,0.0652,0.0384,0.0055,0.0019,__0.1548__,**0.1847**,0.1542,0.0000,0.0275,0.0019,0.0220
stock,F1,0.2810,0.1773,0.1559,0.1491,0.4122,**0.4765**,__0.4302__,0.0361,0.1795,0.1591,0.1747
synthetic_1,ACC,0.6950,0.7800,0.5867,0.5567,__0.9967__,**1.0000**,0.9967,0.5000,0.4967,0.5117,0.5100
synthetic_1,NMI,0.2687,0.4420,0.0782,0.0509,__0.9842__,**1.0000**,0.9774,0.0111,0.0125,0.0069,0.0225
synthetic_1,ARI,0.3134,0.4891,0.0741,0.0390,__0.9901__,**1.0000**,0.9880,0.0080,0.0083,0.0082,0.0191
synthetic_1,F1,0.6880,0.7743,0.5777,0.5427,__0.9966__,**1.0000**,0.9965,0.4796,0.4597,0.4749,0.4959
synthetic_2,ACC,0.6300,0.7650,0.5633,0.5083,0.7717,__0.9800__,**0.9833**,0.4783,0.5217,0.5317,0.5750
synthetic_2,NMI,0.1690,0.4817,0.0760,0.0079,0.5510,__0.8645__,**0.9358**,0.0036,0.0571,0.0032,0.1038
synthetic_2,ARI,0.1983,0.4630,0.0660,-0.0001,0.5422,__0.9218__,**0.9642**,-0.0054,0.0424,0.0010,0.0861
synthetic_2,F1,0.5602,0.7858,0.5211,0.4341,0.6701,__0.9490__,**0.9660**,0.4189,0.4881,0.4764,0.4966
